번호,리뷰 작성자 이름,리뷰 작성자 ID,리뷰 내용
1,한*우,lgi****,"요즘 많은 분들이 개발자에 대한 관심이 많은 걸로 알고 있습니다. 저 또한 그런 사람 중에 하나였습니다. 휴넷에 파이썬에 대한 강의가 있는 걸 보고 바로 신청했습니다. 사실 파이썬에 대해 전혀 몰라서 강의를 신청하고도 걱정이 좀 됐습니다. 그렇게 시작한 강의는 제 걱정을 싹 해결해줬습니다. 파이썬이란 프로그램이 어떤 위치에서 어떻게 작용하는지의 아주 기본적인 부분부터 강사님께서 세세하게 설명해주셔서 전체적인 개념을 잡을 수 있었고, 본격적인 코딩에 대한 설명도 이해하기 쉽게 설명해주시고 강의 자체가 짧게 되어있다 보니 학습하고 부담없이 복습도 할 수 있었습니다. 너무 강추하는 강의입니다. 꼭 들어보세요."
2,작성자 이름이 없습니다.,met****,"코딩이 이슈가 되면서 파이썬을 한번쯤 배워보고 싶다고 막연하게만 생각하고 있었습니다. 그러던 도중 이번 강의에 파이썬 강의가 열린 것을 보고 신청했습니다! 기초적인 기본 개념부터 시작해서 쉬운 프로그래밍 방법, 그리고 약간의 심화내용까지 실습과정을 계속 보여주어서 문과생인 저도 잘 이해하고 따라갈 수 있었고, 더욱 심화 과정을 공부해보고 싶다는 생각도 갖게 되었습니다. 만족스러웠던 파이썬 프로그래밍 강의였습니다~!"
3,김*무,dwf****,한번 배우면 두고두고 사용할 수 있을만한 것이 무엇인지 고민해보다가 코딩이란 것을 처음 배워보았습니다. 교육 내용 그리 길지 않습니다. 짧고 굵게 이 영상 보시면 코딩 쉽게 배울 수 있습니다. 굳
4,김*민,ser****,초보자가 수강하기에 내용이 어렵지 않고 프로그래밍을 이해하는데 도움이 되었습니다IT에 관심이 있거나 관련 된 업무를 하는 비전공자들이 프로그래밍 및 컴퓨터언어 원리에 대한 이해도를 높일 수 있는 내용들입니다.교재를 포함해서 수강이 끝나 이후에도 반복해서 들을 수 있는 것도 장점 인 것 같습니다프로그래밍 기초 혹은 데이터 분석을 배우고 싶은 분에게는 추천 드리는 강의 입니다
5,이*관,rao****,아직은 파이썬에 대해서 많이 알지 못하지만 작은 프로젝트를 통해서 하나둘 만들어가려고 합니다.이 강의가 많은 도움이 될 것으로 믿습니다. ^^
6,서*기,KO4****,다음과 같은 수강생에게 본 강의를 추천합니다.1. Python의 기본 개념을 간략하게 익히고자 하는 수강생2. Python 강의를 수강한 경험이 있으며 이론에 대해 복습하고자 하는 수강생
7,이*우,iso****,"저는 40대 중반을 넘어선 엔지니어고, 대학 졸업 후부터 공장 자동화 관련된 엔지니어링 일을 쭉 해왔습니다.예전부터 디지털 디지털 말은 참 많았는데 요즘에는 정말 디지털 시대라는 걸 체감하게 됩니다. 현장에서부터 매니지먼트까지 디지털화 되는 속도가 그 어느때보다 빠른 것 같습니다.이전에는 데이터 위주보다는 프로세스를 자동화 하는데 초점이 맞춰저 있었다면 요즘은 공정 자동화는 기본이고 취합된 데이터 또는 취합해야 하는 데이터를 어떻게 분석하고 관리해서 뭘 할 수 있는지에 초점이 맞춰져 있습니다. 이런 시대에서 프로그래밍은 필수 요소이기 때문에 꼭 많은 분들이 도전하셨으면 좋겠고, 이 강의는 그런 분들을 위해 잘 구성되어 있다고 생각합니다. 감사합니다."
8,권*우,jvm****,"시청자 입장에서 청취자 입장에서 풀어서 설명해주시고, 파이썬이라는 소프트웨어를 알아가는데 도움이 되었습니다."
9,전*기,AMK****,후반부로 갈수록 강의 내용이 어렵고 길어서 1개월 안에 마치는 것이 무리가 있어 보입니다.
10,황*영,kit****,"프로그래밍이 처음인 사람에게는 다소 어렵고, 다른 언어에 경험이 있다면 약간 쉬운 느낌입니다. 그래도 전문가의 설명이 많은 도움이 되었습니다."
