URL 주소,댓글작성자명,댓글작성일자,댓글 내용
https://www.youtube.com//watch?v=QAd6vRzwARQ,자나,3일 전,언니의 추천템은 다 너무 좋은것같아요
https://www.youtube.com//watch?v=QAd6vRzwARQ,징짱,2일 전,이렇게 언니 추천템으로 꾹꾹 담은 영상 행복해요...  언니 올리브영 영상보면 매번 사고 있는 어느새 나를 발견하게 되는...ㅎㅎ  오늘도 좋은 영상 고마워용
https://www.youtube.com//watch?v=QAd6vRzwARQ,김혜민,3일 전,이 언니가 추천해주는 간식은 찐이라고... 집 가는 길에 당장 사들고 가야지
https://www.youtube.com//watch?v=QAd6vRzwARQ,김가빈,3일 전(수정됨),올리브영에 진심이라 이런 추천템 소개해주시는 거 넘 조아요
https://www.youtube.com//watch?v=QAd6vRzwARQ,singingRia,3일 전,역시 연두콩의 올리브영 추천템에서 빠질 수 없는 먹을 것!!! ㅋㅋㅋ이미 쓰고 있는 것도 있고 궁금한 것도 있네용 ㅋㅋ 다음 쇼핑때 다시 보고 참고해야겠어요 ㅋㅋㅋ
https://www.youtube.com//watch?v=QAd6vRzwARQ,Soo Yummy수야미,2일 전,"이번에도 맛없는건 추천 안할거라거 생각하고 들어왔어요,,, 언니추천템 다조아어앙 "
https://www.youtube.com//watch?v=QAd6vRzwARQ,윰이윰,2일 전,두콩님이 추천하는 향기류는 그냥 믿고사게되염
https://www.youtube.com//watch?v=QAd6vRzwARQ,Ji,2일 전,언니의 추천템은 믿고 사요~ㅎㅎ
https://www.youtube.com//watch?v=QAd6vRzwARQ,pinky baby,2일 전,두콩님 왤케 오랜만인거같지 ㅠㅠ 살 찐지 1도 몰랐어요 두콩님 이즈 뭔들   올리브영 vvip 두콩님 .. 사랑합니다 ️‍
https://www.youtube.com//watch?v=QAd6vRzwARQ,jjee pi,2일 전,이상하게 연두콩님이 소개해주시는건 다 좋아보이는...  손민수 갑니다
https://www.youtube.com//watch?v=QAd6vRzwARQ,꼬마거미,3일 전,오오 처음 보는 제품들도 있는데 너무 신기하네요 !! 특히 저 프로틴칩...올영 가서 쓸어와야겠어요 흐흥
https://www.youtube.com//watch?v=QAd6vRzwARQ,jihyeon Yun,3일 전,올리브영 간식만 한번 모아서 정리하면 좋을거같아요~!
https://www.youtube.com//watch?v=QAd6vRzwARQ,신지은,3일 전,꺅 마침 올리브영에 살 거 있어서 사는 김에 뭐 더 같이 살까 고민중이었는데 넘 유용한 영상!! 언니 저두 행복한 돼지가 될래여♡ 언니가 추천하는 먹거리는 믿고 먹슴니다
https://www.youtube.com//watch?v=QAd6vRzwARQ,깨돌이,3일 전,지성+더위 진짜 많이 타는 저한테 완전 꿀템이에요 ㅠㅠ
https://www.youtube.com//watch?v=QAd6vRzwARQ,나야나슈슈,3일 전,올리브영 뮤즈 두콩쓰의 추천템은 아묻따지!!! ㅎㅎ 포르투갈 여행 재밌게 하고와요 
https://www.youtube.com//watch?v=QAd6vRzwARQ,Y J,2일 전,믿고 쓰는 두콩템️
https://www.youtube.com//watch?v=QAd6vRzwARQ,효니월드,3일 전,라운드어라운드 사고 싶어 찜해놨는데 리뷰해주셔서 고맙습니다! 당장 내일 가서 사야겠어용ㅎㅎㅎ
https://www.youtube.com//watch?v=QAd6vRzwARQ,Hyeoni10,2일 전,"예~~~~전에 추천해 주셨던 딜라이트 갈릭버터칩...! 그거 요즘도 종종 먹고있는데,, 이번엔 단백질이 함유된 칩이라니,, 내일 일어나서 올영갑니다"
https://www.youtube.com//watch?v=QAd6vRzwARQ,ldud w,2일 전,언니 여름맞이 메이크업 올려주세요 뭔가 화장하는 영상이 그립네유ㅠ
https://www.youtube.com//watch?v=QAd6vRzwARQ,jj,3일 전,두콩님 립 찰떡이에요
